stage	family	model	cx	lr	loss	run_id	run_name	step	exists	source
pretrain	baseline	275m	1	2e-3	2.7767	hvr2xuvf	olmoe3-tiny-275m-cx1-b256k-gpu2-ep1mb16-lr2e-3-r2	15365	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-tiny-275m-cx1-b256k-gpu2-ep1mb16-lr2e-3-r2/step15365
pretrain	baseline	275m	2	1.8e-3	2.6541	lq4zvsx4	olmoe3-tiny-275m-cx2-b384k-gpu2-ep1mb8-lr1.8e-3-r3	20486	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-tiny-275m-cx2-b384k-gpu2-ep1mb8-lr1.8e-3-r3/step20486
pretrain	baseline	275m	4	1.5e-3	2.5611	vtn70hed	olmoe3-tiny-275m-cx4-b512k-gpu4-ep1mb16-lr1.5e-3	30729	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-tiny-275m-cx4-b512k-gpu4-ep1mb16-lr1.5e-3/step30729
pretrain	baseline	275m	8	1.6e-3	2.4864	nitwy74p	olmoe3-tiny-275m-cx8-b768k-gpu4-ep1mb8-lr1.6e-3-r2	40971	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-tiny-275m-cx8-b768k-gpu4-ep1mb8-lr1.6e-3-r2/step40971
pretrain	baseline	480m	1	1.2e-3	2.5636	49mybsr0	m480-cx1-b256k-gpu4-ep1mb8-lr1.2e-3-r1	29022	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/m480-cx1-b256k-gpu4-ep1mb8-lr1.2e-3-r1/step29022
pretrain	baseline	480m	2	9e-4	2.463	rs791s4r	m480-cx2-b384k-gpu4-ep1mb4-lr9e-4-r1	38696	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/m480-cx2-b384k-gpu4-ep1mb4-lr9e-4-r1/step38696
pretrain	baseline	480m	4	8e-4	2.3788	r5jfqoq8	m480-cx4-b512k-gpu4-ep1mb8-lr8e-4-r1	58044	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/m480-cx4-b512k-gpu4-ep1mb8-lr8e-4-r1/step58044
pretrain	baseline	480m	8	8e-4	2.3076	ehjbiul4	m480-cx8-b768k-gpu8-ep1mb4-lr8e-4-r1	77392	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/m480-cx8-b768k-gpu8-ep1mb4-lr8e-4-r1/step77392
pretrain	baseline	810m	1	6e-4	2.4104	88byjpdd	olmoe3-moe-a0-810m-cx1-b256k-gpu4-ep1mb4-lr6e-4-r1	52648	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-810m-cx1-b256k-gpu4-ep1mb4-lr6e-4-r1/step52648
pretrain	baseline	810m	2	5.6e-4	2.3204	v5puakhq	olmoe3-moe-a0-810m-cx2-b384k-gpu8-ep1mb2-lr5.6e-4-r3	70197	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-810m-cx2-b384k-gpu8-ep1mb2-lr5.6e-4-r3/step70197
pretrain	baseline	810m	4	4e-4	2.2424	5rqlw5fd	olmoe3-moe-a0-810m-cx4-b512k-gpu8-ep1mb4-lr4e-4-r1	105295	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-810m-cx4-b512k-gpu8-ep1mb4-lr4e-4-r1/step105295
pretrain	baseline	810m	8	4e-4	2.1721	dkpaicdc	olmoe3-moe-a0-810m-cx8-b768k-gpu8-ep1mb4-lr4e-4-r1	140394	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-810m-cx8-b768k-gpu8-ep1mb4-lr4e-4-r1/step140394
pretrain	baseline	1p2b	1	4e-4	2.3108	r9esbx26	olmoe3-moe-a0-1p2b-cx1-b256k-gpu8-ep1mb2-lr4e-4-r1	81190	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-1p2b-cx1-b256k-gpu8-ep1mb2-lr4e-4-r1/step81190
pretrain	baseline	1p2b	2	6e-4	2.2229	54pt8zj7	olmoe3-moe-a0-1p2b-cx2-b384k-lr6e-4-r1	108253	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-1p2b-cx2-b384k-lr6e-4-r1/step108253
pretrain	baseline	1p2b	4	3e-4	2.1508	rkjs2sze	olmoe3-moe-a0-1p2b-cx4-b512k-gpu8-ep1mb2-lr3e-4-r1	162379	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-1p2b-cx4-b512k-gpu8-ep1mb2-lr3e-4-r1/step162379
pretrain	baseline	1p2b	8	4e-4	2.0835	gbt7khqj	olmoe3-moe-a0-1p2b-cx8-b768k-gpu32-ep1mb1-lr4e-4-r1	216505	True	/weka/oe-training-default/ai2-llm/checkpoints/jacobm/olmoe3/olmoe3-moe-a0-1p2b-cx8-b768k-gpu32-ep1mb1-lr4e-4-r1/step216505
