run,task,arm,budget,train_state,eval_state,steps,steps_expected,gpus,train_seconds,gpu_hours,actual_pflops,dense_pflops,actual_over_dense,ce_1,ce_5,ce_10,ce_20,ce_final,ce_floor,at_floor_step10,at_floor_final,f1_2k,eval_size,se,train_ex,eval_ex,dense_f1_at_same_flops,matched_flop_delta,extrapolated
f2k-outlier-dense-2M,outlier,dense,2M,DONE,DONE,30,31,2,433.899,0.241055,48.49522,48.49522,1.0,0.776,0.1252,0.0897,0.0734,0.0533,0.39045265171327564,False,False,0.954,500,0.009368457717255283,01M2HGRDXR2HB0PMS4FQEFXM8M,01M2HK5BTA5D6CGJ5468XWKQT1,0.954,0.0,True
f2k-outlier-dense-4M,outlier,dense,4M,DONE,DONE,61,62,2,903.531,0.5019616666666666,98.44318,98.44318,1.0,0.7891,0.1494,0.1275,0.0937,0.0201,0.3904909982876027,False,False,0.987,500,0.0050657674640670215,01M2HGSDK6N2NAX4N6ZA1SYG3M,01M2HM84DKD2TRV3P5RY3P6W1V,0.987,0.0,False
f2k-outlier-dense-8M,outlier,dense,8M,DONE,DONE,122,123,2,1810.671,1.0059283333333333,196.90479,196.90479,1.0,0.7793,0.178,0.0928,0.0707,0.0131,0.39047113978385023,False,False,0.996,500,0.002822764602300377,01M2HGTBBAPQ8906BH0W0JF2C9,01M2HN3TEBEDZ0ANHSG2KMSVCX,0.996,0.0,True
f2k-outlier-kvgb50-4M,outlier,kvgb50,4M,DONE,DONE,61,62,2,1366.288,0.7590488888888889,56.34996,98.44318,0.57241,1.082,0.445,0.3771,0.3123,0.2643,0.3904909982876027,True,False,0.882,500,0.014427473791346842,01M2HGV458HFJDEHV1D7N65BXP,01M2HNFX18ZJGZFH472WSSV6B3,0.9609968046723898,-0.07899680467238979,False
f2k-outlier-xhdr17-4M,outlier,xhdr17,4M,DONE,DONE,61,62,2,917.34,0.5096333333333334,27.34058,98.44318,0.27773,1.102,0.4686,0.4351,0.4317,0.4084,0.3904909982876027,True,True,0.234,500,0.018933779337469845,01M2HGVX148129YYQPPXPJ9SR3,01M2HNMR3KNCYV1JN7J4YCK0EE,0.9272885684638906,-0.6932885684638906,True
f2k-outlier-xhdr50-4M,outlier,xhdr50,4M,DONE,DONE,61,62,2,1377.11,0.7650611111111111,57.37519,98.44318,0.58283,1.06,0.7693,0.3865,0.3201,0.2746,0.3904909982876027,True,False,0.895,500,0.013709485767161363,01M2HGWRX45SJPEHAKNMB8ZFAW,01M2HPFFZ78RVXY755QD7917DK,0.9618371900045541,-0.06683719000455413,False
f2k-outlier-xhdr17-warm-4M,outlier,xhdr17-warm,4M,DONE,DONE,61,62,2,907.599,0.5042216666666667,27.34058,98.44318,0.27773,0.4442,0.4317,0.409,0.4001,0.3862,0.3904909982876027,True,True,0.236,500,0.018989681408596616,01M2HP7XFDNQXKWSE3YG09152J,01M2HQS4MQSWGR79XKAGRTP5W2,0.9272885684638906,-0.6912885684638906,True
f2k-outlier-cc17-4M,outlier,cc17,4M,DONE,DONE,61,62,2,911.725,0.5065138888888889,27.34058,98.44318,0.27773,1.047,0.4793,0.4493,0.4316,0.4083,0.3904909982876027,True,True,0.237,500,0.019017413073286284,01M2J1CK2TG2VYA5GX64354EZC,01M2J3DDSRSVEWQXFY7KG0NDY5,0.9272885684638906,-0.6902885684638906,True
f2k-outlier-cm17-4M,outlier,cm17,4M,DONE,DONE,61,62,2,1008.614,0.5603411111111112,27.34058,98.44318,0.27773,1.072,0.4808,0.4497,0.4314,0.409,0.3904909982876027,True,True,0.235,500,0.018961803711672578,01M2J1DFSAT35R0AGYRKEGJBKB,01M2J3E9XAYHKSFNAFRCJ22WXD,0.9272885684638906,-0.6922885684638906,True
f2k-outlier-cc00-4M,outlier,cc00,4M,DONE,DONE,61,62,2,506.228,0.2812377777777778,9.32766,98.44318,0.09475,0.9781,0.4772,0.4292,0.4138,0.348,0.3904909982876027,True,False,0.482,500,0.022346185356789647,01M2J1EBYVKRREN264H3C15TZX,01M2J2S43E50NYS7C2MW2Z21MT,0.8771655696112037,-0.39516556961120375,True
f2k-outlier-cc50-4M,outlier,cc50,4M,DONE,DONE,61,62,2,1452.127,0.8067372222222222,57.37519,98.44318,0.58283,1.03,0.6614,0.3512,0.2838,0.2356,0.3904909982876027,False,False,0.906,500,0.013050976974924135,01M2J1F9DCYXJEB0FDPVRWPB6W,01M2J46CVDEED2QK9DTHVHZSEF,0.9618371900045541,-0.055837190004554116,False
f2k-outlier-xhdr00-4M,outlier,xhdr00,4M,DONE,DONE,61,62,2,1099.833,0.6110183333333333,9.32766,98.44318,0.09475,1.03,0.4706,0.4358,0.429,0.4081,0.3904909982876027,True,True,0.239,500,0.01907244085060955,01M2J3J7K49M1WKDKFCP9BYTTC,01M2J543PV8NNRNJ3Z05SS2A8Y,0.8771655696112037,-0.6381655696112037,True
