-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   step         0.18%       2.218ms        54.20%     674.487ms     674.487ms       0.000us         0.00%     287.230ms     287.230ms             1  
                                                forward         0.91%      11.326ms        12.71%     158.102ms     158.102ms       0.000us         0.00%     287.229ms     287.229ms             1  
                                               aten::mm         2.13%      26.522ms         3.68%      45.793ms      39.751us     242.067ms        33.19%     245.770ms     213.342us          1152  
       autograd::engine::evaluate_function: MmBackward0         0.13%       1.560ms        15.45%     192.291ms     763.058us       0.000us         0.00%     242.161ms     960.955us           252  
                                            MmBackward0         1.28%      15.963ms        15.33%     190.731ms     756.867us       0.000us         0.00%     242.161ms     960.955us           252  
                                                   attn         0.00%       0.000us         0.00%       0.000us       0.000us     165.206ms        22.65%     165.206ms       2.295ms            72  
                                                   attn         1.83%      22.735ms        10.39%     129.254ms       1.795ms       0.000us         0.00%     162.276ms       2.254ms            72  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     146.994ms        20.16%     146.994ms     146.994ms             1  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     140.477ms        19.26%     140.477ms     140.477ms             1  
                                                lm_head         0.01%     135.788us         6.24%      77.638ms      77.638ms       0.000us         0.00%     139.701ms     139.701ms             1  
                   LigerFusedLinearCrossEntropyFunction         0.22%       2.781ms         6.21%      77.330ms      77.330ms       2.091ms         0.29%     139.434ms     139.434ms             1  
                                           aten::matmul         0.19%       2.362ms         2.98%      37.082ms      61.803us       0.000us         0.00%     121.916ms     203.193us           600  
                                           aten::linear         0.11%       1.383ms         3.15%      39.173ms      77.725us       0.000us         0.00%     101.736ms     201.858us           504  
autograd::engine::evaluate_function: FlashAttnFuncBa...         0.03%     343.263us         0.74%       9.264ms     257.324us       0.000us         0.00%     101.350ms       2.815ms            36  
                                  FlashAttnFuncBackward         0.21%       2.566ms         0.72%       8.920ms     247.789us       0.000us         0.00%     101.350ms       2.815ms            36  
                       flash_attn::_flash_attn_backward         0.28%       3.493ms         0.46%       5.696ms     158.227us      99.172ms        13.60%     101.350ms       2.815ms            36  
void flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      95.646ms        13.12%      95.646ms       2.657ms            36  
                                              aten::mul         1.71%      21.299ms        10.61%     132.044ms      57.063us      91.947ms        12.61%      92.267ms      39.873us          2314  
                                            aten::copy_         0.42%       5.270ms        12.13%     150.910ms     115.640us      89.137ms        12.22%      89.239ms      68.382us          1305  
                                               aten::to         0.13%       1.583ms        12.59%     156.717ms      70.530us       0.000us         0.00%      84.577ms      38.064us          2222  
