-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     314.930ms        47.78%     314.930ms     314.930ms             1  
                                                   step         0.50%       6.800ms        55.41%     759.085ms     759.085ms       0.000us         0.00%     260.764ms     260.764ms             1  
                                                forward         0.94%      12.870ms        13.82%     189.271ms     189.271ms       0.000us         0.00%     260.764ms     260.764ms             1  
                                                   attn         0.00%       0.000us         0.00%       0.000us       0.000us     163.016ms        24.73%     163.016ms       2.264ms            72  
                                                   attn         1.78%      24.378ms         6.99%      95.740ms       1.330ms       0.000us         0.00%     158.888ms       2.207ms            72  
                                               aten::mm         3.40%      46.545ms         4.51%      61.805ms      29.944us     156.078ms        23.68%     156.149ms      75.654us          2064  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     140.189ms        21.27%     140.189ms     140.189ms             1  
                                                lm_head         0.01%     158.352us         0.66%       9.050ms       9.050ms       0.000us         0.00%     139.289ms     139.289ms             1  
                   LigerFusedLinearCrossEntropyFunction         0.22%       2.954ms         0.64%       8.711ms       8.711ms       2.070ms         0.31%     139.076ms     139.076ms             1  
                                                    ffn         0.00%       0.000us         0.00%       0.000us       0.000us     130.136ms        19.74%     130.136ms       1.807ms            72  
      autograd::engine::evaluate_function: MulBackward0         0.36%       4.991ms        18.23%     249.719ms     351.223us       0.000us         0.00%     122.836ms     172.765us           711  
       autograd::engine::evaluate_function: MmBackward0         0.21%       2.920ms         4.94%      67.643ms     144.537us       0.000us         0.00%     107.406ms     229.499us           468  
                                            MmBackward0         0.70%       9.599ms         4.67%      63.960ms     136.667us       0.000us         0.00%     107.196ms     229.050us           468  
                                           MulBackward0         1.24%      16.964ms        17.26%     236.494ms     332.622us       0.000us         0.00%     107.108ms     150.644us           711  
autograd::engine::evaluate_function: FlashAttnFuncBa...         0.03%     354.709us         0.69%       9.471ms     263.075us       0.000us         0.00%      98.410ms       2.734ms            36  
                                  FlashAttnFuncBackward         0.20%       2.698ms         0.67%       9.116ms     253.222us       0.000us         0.00%      98.410ms       2.734ms            36  
                       flash_attn::_flash_attn_backward         0.26%       3.580ms         0.42%       5.747ms     159.647us      96.272ms        14.60%      98.410ms       2.734ms            36  
void flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      92.753ms        14.07%      92.753ms       2.576ms            36  
                                            aten::copy_         0.58%       7.896ms        21.44%     293.714ms     148.491us      92.520ms        14.04%      92.520ms      46.775us          1978  
                                              aten::mul         2.40%      32.854ms         4.10%      56.201ms      17.020us      89.352ms        13.55%      89.352ms      27.060us          3302  
