-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   step         0.24%       2.293ms        55.64%     540.820ms     540.820ms       0.000us         0.00%     288.202ms     288.202ms             1  
                                                forward         0.84%       8.166ms        16.83%     163.586ms     163.586ms       0.000us         0.00%     288.201ms     288.201ms             1  
                                               aten::mm         1.77%      17.155ms         3.85%      37.386ms      41.540us     197.173ms        33.21%     201.975ms     224.417us           900  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     147.092ms        24.77%     147.092ms     147.092ms             1  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     140.541ms        23.67%     140.541ms     140.541ms             1  
                                                lm_head         0.01%     136.816us         8.20%      79.664ms      79.664ms       0.000us         0.00%     139.648ms     139.648ms             1  
                   LigerFusedLinearCrossEntropyFunction         0.38%       3.691ms         8.16%      79.348ms      79.348ms       2.074ms         0.35%     139.382ms     139.382ms             1  
       autograd::engine::evaluate_function: MmBackward0         0.14%       1.317ms         2.94%      28.585ms     113.431us       0.000us         0.00%     110.343ms     437.870us           252  
                                            MmBackward0         0.13%       1.279ms         2.81%      27.268ms     108.206us       0.000us         0.00%     110.343ms     437.870us           252  
autograd::engine::evaluate_function: FlashAttnFuncBa...         0.05%     522.872us         0.91%       8.889ms     246.916us       0.000us         0.00%      99.103ms       2.753ms            36  
                                  FlashAttnFuncBackward         0.21%       2.065ms         0.86%       8.366ms     232.392us       0.000us         0.00%      99.103ms       2.753ms            36  
                       flash_attn::_flash_attn_backward         0.36%       3.479ms         0.58%       5.596ms     155.448us      96.972ms        16.33%      99.103ms       2.753ms            36  
void flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      93.448ms        15.74%      93.448ms       2.596ms            36  
                                                   attn         0.00%       0.000us         0.00%       0.000us       0.000us      82.252ms        13.85%      82.252ms       2.285ms            36  
                                                   attn         1.36%      13.186ms         5.03%      48.860ms       1.357ms       0.000us         0.00%      81.324ms       2.259ms            36  
                                           aten::matmul         0.14%       1.392ms         1.58%      15.396ms      44.243us       0.000us         0.00%      80.153ms     230.326us           348  
                                            aten::copy_         0.41%       4.008ms        15.08%     146.615ms     155.149us      78.800ms        13.27%      78.973ms      83.569us           945  
                                               aten::to         0.12%       1.131ms        14.73%     143.199ms     100.139us       0.000us         0.00%      74.331ms      51.980us          1430  
                                         aten::_to_copy         0.29%       2.781ms        14.62%     142.069ms     202.089us       0.000us         0.00%      74.331ms     105.735us           703  
                                              aten::mul         1.28%      12.451ms        11.89%     115.518ms      62.577us      69.287ms        11.67%      69.991ms      37.915us          1846  
