figure,panel,task,variant,ctc_class,ctc_order,x_axis,context_tokens,context_tokens_exact,n_docs,metric,panel_y_label,full_attention,chunked_attention,relative_gap,eval_size,notes
fig4_cross_task,Retrieval,NIAH,,low,O_T(N),tokens,2048,yes,,set-F1,gold-ID F1,0.988,0.984,0.004049,500,
fig4_cross_task,Retrieval,NIAH,,low,O_T(N),tokens,4096,yes,,set-F1,gold-ID F1,0.988,0.994,-0.006073,500,
fig4_cross_task,Retrieval,NIAH,,low,O_T(N),tokens,8192,yes,,set-F1,gold-ID F1,0.976,0.976,0.0,500,
fig4_cross_task,Retrieval,NIAH,,low,O_T(N),tokens,16384,yes,,set-F1,gold-ID F1,0.984,0.978,0.006098,500,
fig4_cross_task,Retrieval,NIAH,,low,O_T(N),tokens,32768,yes,,set-F1,gold-ID F1,0.966,0.97,-0.004141,500,
fig4_cross_task,Retrieval,NQ,,low,O_T(N),tokens,2048,yes,,gold-ID F1,gold-ID F1,0.904,0.964,-0.066372,500,
fig4_cross_task,Retrieval,NQ,,low,O_T(N),tokens,4096,yes,,gold-ID F1,gold-ID F1,0.93,0.942,-0.012903,500,
fig4_cross_task,Retrieval,NQ,,low,O_T(N),tokens,8192,yes,,gold-ID F1,gold-ID F1,0.864,0.896,-0.037037,500,
fig4_cross_task,Retrieval,NQ,,low,O_T(N),tokens,16384,yes,,gold-ID F1,gold-ID F1,,,,500,
fig4_cross_task,Retrieval,NQ,,low,O_T(N),tokens,32768,yes,,gold-ID F1,gold-ID F1,,,,500,
fig4_cross_task,Retrieval,MS MARCO,,low,O_T(N),tokens,2048,yes,,set-F1,gold-ID F1,0.961,0.897,0.066597,500,
fig4_cross_task,Retrieval,MS MARCO,,low,O_T(N),tokens,4096,yes,,set-F1,gold-ID F1,0.939,0.902,0.039404,500,
fig4_cross_task,Retrieval,MS MARCO,,low,O_T(N),tokens,8192,yes,,set-F1,gold-ID F1,0.917,0.868,0.053435,500,
fig4_cross_task,Retrieval,MS MARCO,,low,O_T(N),tokens,16384,yes,,set-F1,gold-ID F1,0.9,0.871,0.032222,500,
fig4_cross_task,Retrieval,MS MARCO,,low,O_T(N),tokens,32768,yes,,set-F1,gold-ID F1,,,,500,
fig4_cross_task,Ranking / subjective,rerank,,low,O_T(N),tokens,2048,yes,,MRR@10,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.989,0.98,0.0091,500,
fig4_cross_task,Ranking / subjective,rerank,,low,O_T(N),tokens,4096,yes,,MRR@10,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.971,0.966,0.005149,500,
fig4_cross_task,Ranking / subjective,rerank,,low,O_T(N),tokens,8192,yes,,MRR@10,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.96,0.95,0.010417,500,
fig4_cross_task,Ranking / subjective,rerank,,low,O_T(N),tokens,16384,yes,,MRR@10,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.952,0.949,0.003151,500,
fig4_cross_task,Ranking / subjective,rerank,,low,O_T(N),tokens,32768,yes,,MRR@10,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",,,,500,
fig4_cross_task,Ranking / subjective,OBLIQ,,low,O_T(N),tokens,2048,yes,,set-F1,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.74,0.689,0.068919,126,
fig4_cross_task,Ranking / subjective,OBLIQ,,low,O_T(N),tokens,4096,yes,,set-F1,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.659,0.605,0.081942,126,
fig4_cross_task,Ranking / subjective,OBLIQ,,low,O_T(N),tokens,8192,yes,,set-F1,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.608,0.563,0.074013,126,
fig4_cross_task,Ranking / subjective,OBLIQ,,low,O_T(N),tokens,16384,yes,,set-F1,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.277,0.262,0.054152,126,
fig4_cross_task,Ranking / subjective,OBLIQ,,low,O_T(N),tokens,32768,yes,,set-F1,"MRR@10 (rerank), gold-ID F1 (OBLIQ)",0.327,0.293,0.103976,126,
fig4_cross_task,"Absence, summarization",absence,,low,O_T(N),tokens,2048,yes,,set-F1,"set-F1 (absence), ROUGE-1 (GovReport)",0.964,0.949,0.01556,500,
fig4_cross_task,"Absence, summarization",absence,,low,O_T(N),tokens,4096,yes,,set-F1,"set-F1 (absence), ROUGE-1 (GovReport)",0.976,0.961,0.015369,500,
fig4_cross_task,"Absence, summarization",absence,,low,O_T(N),tokens,8192,yes,,set-F1,"set-F1 (absence), ROUGE-1 (GovReport)",0.986,0.981,0.005071,500,
fig4_cross_task,"Absence, summarization",absence,,low,O_T(N),tokens,16384,yes,,set-F1,"set-F1 (absence), ROUGE-1 (GovReport)",0.932,0.945,-0.013948,500,
fig4_cross_task,"Absence, summarization",absence,,low,O_T(N),tokens,32768,yes,,set-F1,"set-F1 (absence), ROUGE-1 (GovReport)",,,,500,
fig4_cross_task,"Absence, summarization",GovReport,,low,O_T(N),tokens,2048,yes,,ROUGE-1,"set-F1 (absence), ROUGE-1 (GovReport)",0.329,0.335,-0.018237,500,
fig4_cross_task,"Absence, summarization",GovReport,,low,O_T(N),tokens,4096,yes,,ROUGE-1,"set-F1 (absence), ROUGE-1 (GovReport)",0.338,0.341,-0.008876,500,
fig4_cross_task,"Absence, summarization",GovReport,,low,O_T(N),tokens,8192,yes,,ROUGE-1,"set-F1 (absence), ROUGE-1 (GovReport)",0.341,0.346,-0.014663,500,
fig4_cross_task,"Absence, summarization",GovReport,,low,O_T(N),tokens,16384,yes,,ROUGE-1,"set-F1 (absence), ROUGE-1 (GovReport)",,0.347,,500,
fig4_cross_task,"Absence, summarization",GovReport,,low,O_T(N),tokens,32768,yes,,ROUGE-1,"set-F1 (absence), ROUGE-1 (GovReport)",,0.349,,500,
fig4_cross_task,"Outlier (wiki), token sweep",outlier,,high,O_T(NM),tokens,2048,yes,,set-F1,set-F1,0.982,0.962,0.020367,500,
fig4_cross_task,"Outlier (wiki), token sweep",outlier,,high,O_T(NM),tokens,4096,yes,,set-F1,set-F1,0.956,0.869,0.091004,500,
fig4_cross_task,"Outlier (wiki), token sweep",outlier,,high,O_T(NM),tokens,8192,yes,,set-F1,set-F1,0.877,0.641,0.269099,500,
fig4_cross_task,"Outlier (wiki), token sweep",outlier,,high,O_T(NM),tokens,16384,yes,,set-F1,set-F1,0.679,0.343,0.494845,500,
fig4_cross_task,"Outlier (wiki), token sweep",outlier,,high,O_T(NM),tokens,32768,yes,,set-F1,set-F1,0.428,0.125,0.707944,500,
