# qnorm/knorm step-to-step comparison
# Base folder: /weka/oe-training-default/ai2-llm/checkpoints/amandab/OLMo2.5
# Tolerance: 0.01
# Comparison direction: stepB - stepA (increased = weight grew)
#
step_a	step_b	parameter_name	pct_increased	pct_decreased	pct_same	max_increase	max_decrease	mean_change
0	2000	blocks.0.attention.k_norm.weight	0.00	100.00	0.00	-1.752239e-02	-1.176751e-01	-5.888258e-02
0	2000	blocks.0.attention.q_norm.weight	0.00	100.00	0.00	-1.758802e-02	-1.213875e-01	-6.003659e-02
0	2000	blocks.1.attention.k_norm.weight	1.61	68.60	29.79	3.905845e-02	-6.038433e-02	-1.516345e-02
0	2000	blocks.1.attention.q_norm.weight	0.76	70.04	29.20	2.792120e-02	-6.952375e-02	-1.527942e-02
0	2000	blocks.10.attention.k_norm.weight	10.30	59.67	30.03	5.721796e-02	-1.251295e-01	-1.269401e-02
0	2000	blocks.10.attention.q_norm.weight	9.84	58.54	31.62	5.875766e-02	-1.401984e-01	-1.228213e-02
0	2000	blocks.11.attention.k_norm.weight	7.86	66.26	25.88	7.323682e-02	-1.380665e-01	-1.565526e-02
0	2000	blocks.11.attention.q_norm.weight	7.42	64.82	27.76	4.532588e-02	-1.380038e-01	-1.553370e-02
0	2000	blocks.12.attention.k_norm.weight	15.87	49.39	34.74	6.421816e-02	-1.603421e-01	-1.080559e-02
0	2000	blocks.12.attention.q_norm.weight	16.04	47.34	36.62	5.959237e-02	-1.769220e-01	-1.040112e-02
0	2000	blocks.13.attention.k_norm.weight	13.40	60.99	25.61	6.471384e-02	-2.005760e-01	-1.978748e-02
0	2000	blocks.13.attention.q_norm.weight	13.75	60.16	26.10	6.437850e-02	-2.102005e-01	-1.927407e-02
0	2000	blocks.14.attention.k_norm.weight	14.94	55.88	29.17	5.012631e-02	-1.847273e-01	-1.460364e-02
0	2000	blocks.14.attention.q_norm.weight	14.94	54.27	30.79	5.007946e-02	-1.885936e-01	-1.403100e-02
0	2000	blocks.15.attention.k_norm.weight	8.13	61.67	30.20	4.342318e-02	-1.221241e-01	-1.577967e-02
0	2000	blocks.15.attention.q_norm.weight	7.93	59.86	32.20	5.170965e-02	-1.141424e-01	-1.547773e-02
0	2000	blocks.16.attention.k_norm.weight	12.57	53.08	34.35	4.890156e-02	-1.290972e-01	-1.373651e-02
0	2000	blocks.16.attention.q_norm.weight	12.55	51.25	36.21	5.595851e-02	-1.370665e-01	-1.321310e-02
0	2000	blocks.17.attention.k_norm.weight	15.67	47.51	36.82	5.539668e-02	-1.421493e-01	-1.023175e-02
0	2000	blocks.17.attention.q_norm.weight	16.16	45.53	38.31	4.682314e-02	-1.322215e-01	-9.724763e-03
0	2000	blocks.18.attention.k_norm.weight	10.28	55.05	34.67	4.800200e-02	-1.160251e-01	-1.380468e-02
0	2000	blocks.18.attention.q_norm.weight	9.91	52.73	37.35	4.784954e-02	-1.211203e-01	-1.346676e-02
0	2000	blocks.19.attention.k_norm.weight	8.47	56.84	34.69	4.256892e-02	-1.427493e-01	-1.513926e-02
0	2000	blocks.19.attention.q_norm.weight	8.28	55.13	36.60	4.532111e-02	-1.355926e-01	-1.477409e-02
0	2000	blocks.2.attention.k_norm.weight	8.25	54.42	37.33	7.443869e-02	-5.325621e-02	-9.899597e-03
0	2000	blocks.2.attention.q_norm.weight	7.64	52.81	39.55	5.087173e-02	-5.335253e-02	-9.730298e-03
0	2000	blocks.20.attention.k_norm.weight	10.45	56.93	32.62	4.444861e-02	-1.216317e-01	-1.436897e-02
0	2000	blocks.20.attention.q_norm.weight	11.04	54.30	34.67	4.443371e-02	-1.209915e-01	-1.403321e-02
0	2000	blocks.21.attention.k_norm.weight	11.94	54.54	33.52	6.341422e-02	-1.036266e-01	-1.276625e-02
0	2000	blocks.21.attention.q_norm.weight	12.77	53.32	33.91	4.815245e-02	-1.008008e-01	-1.249195e-02
0	2000	blocks.22.attention.k_norm.weight	8.35	51.90	39.75	6.250441e-02	-1.095685e-01	-1.234325e-02
0	2000	blocks.22.attention.q_norm.weight	8.86	50.76	40.38	3.947651e-02	-1.107693e-01	-1.196665e-02
