# qnorm/knorm step-to-step comparison
# Base folder: /weka/oe-training-default/ai2-llm/checkpoints/amandab/OLMo2.8-correctdata-noheadnorm
# Tolerance: 0.01
# Comparison direction: stepB - stepA (increased = weight grew)
#
step_a	step_b	parameter_name	pct_increased	pct_decreased	pct_same	max_increase	max_decrease	mean_change
0	2000	blocks.0.attention.k_norm.weight	0.00	100.00	0.00	-1.946688e-02	-1.683747e-01	-8.039556e-02
0	2000	blocks.0.attention.q_norm.weight	0.00	100.00	0.00	-1.953673e-02	-1.126517e-01	-5.736577e-02
0	2000	blocks.1.attention.k_norm.weight	9.86	44.73	45.41	6.305814e-02	-4.241478e-02	-7.432669e-03
0	2000	blocks.1.attention.q_norm.weight	2.17	66.72	31.10	3.387213e-02	-7.029754e-02	-1.381649e-02
0	2000	blocks.10.attention.k_norm.weight	36.82	33.98	29.20	7.962120e-02	-1.593102e-01	-1.930991e-03
0	2000	blocks.10.attention.q_norm.weight	22.00	53.88	24.12	7.878041e-02	-1.872236e-01	-1.205496e-02
0	2000	blocks.11.attention.k_norm.weight	19.82	46.29	33.89	5.216539e-02	-2.118021e-01	-1.452464e-02
0	2000	blocks.11.attention.q_norm.weight	7.37	68.97	23.66	5.100965e-02	-2.022574e-01	-2.136608e-02
0	2000	blocks.12.attention.k_norm.weight	41.60	19.73	38.67	8.261716e-02	-1.441149e-01	4.914879e-03
0	2000	blocks.12.attention.q_norm.weight	20.43	41.82	37.74	6.064999e-02	-1.462366e-01	-6.909728e-03
0	2000	blocks.13.attention.k_norm.weight	42.38	24.22	33.40	8.005655e-02	-1.384918e-01	2.323280e-03
0	2000	blocks.13.attention.q_norm.weight	22.29	41.87	35.84	6.786752e-02	-1.745876e-01	-7.583913e-03
0	2000	blocks.14.attention.k_norm.weight	36.23	28.81	34.96	7.942915e-02	-1.500219e-01	-1.082440e-03
0	2000	blocks.14.attention.q_norm.weight	19.82	46.56	33.62	5.911541e-02	-1.432536e-01	-9.978624e-03
0	2000	blocks.15.attention.k_norm.weight	26.46	33.11	40.43	5.556655e-02	-1.486668e-01	-1.016048e-02
0	2000	blocks.15.attention.q_norm.weight	10.79	53.15	36.06	4.530537e-02	-1.193065e-01	-1.512386e-02
0	2000	blocks.16.attention.k_norm.weight	24.71	36.82	38.48	6.641281e-02	-1.020437e-01	-5.349808e-03
0	2000	blocks.16.attention.q_norm.weight	9.08	56.18	34.74	4.531240e-02	-1.085282e-01	-1.363789e-02
0	2000	blocks.17.attention.k_norm.weight	17.09	34.86	48.05	6.325543e-02	-1.058392e-01	-8.048287e-03
0	2000	blocks.17.attention.q_norm.weight	4.69	61.62	33.69	4.129028e-02	-1.030861e-01	-1.650403e-02
0	2000	blocks.18.attention.k_norm.weight	27.05	31.05	41.89	7.222605e-02	-1.426791e-01	-6.048465e-03
0	2000	blocks.18.attention.q_norm.weight	8.98	54.49	36.52	4.766393e-02	-1.105436e-01	-1.421507e-02
0	2000	blocks.19.attention.k_norm.weight	21.78	40.33	37.89	6.559050e-02	-1.444852e-01	-9.486307e-03
0	2000	blocks.19.attention.q_norm.weight	9.99	58.81	31.20	5.680490e-02	-1.092671e-01	-1.518760e-02
0	2000	blocks.2.attention.k_norm.weight	10.25	39.75	50.00	7.876039e-02	-4.266429e-02	-5.555728e-03
0	2000	blocks.2.attention.q_norm.weight	1.59	67.50	30.91	4.639101e-02	-1.228355e-01	-1.418308e-02
0	2000	blocks.20.attention.k_norm.weight	26.46	35.55	37.99	6.111085e-02	-1.380183e-01	-6.380869e-03
0	2000	blocks.20.attention.q_norm.weight	7.69	60.11	32.20	3.838539e-02	-1.273013e-01	-1.508441e-02
0	2000	blocks.21.attention.k_norm.weight	27.15	25.10	47.75	7.538259e-02	-8.003420e-02	-2.665934e-04
0	2000	blocks.21.attention.q_norm.weight	5.79	52.98	41.24	4.475427e-02	-7.882261e-02	-1.172566e-02
0	2000	blocks.22.attention.k_norm.weight	28.52	36.82	34.67	7.975340e-02	-8.493054e-02	-2.147218e-03
0	2000	blocks.22.attention.q_norm.weight	10.40	59.47	30.13	6.224680e-02	-8.643425e-02	-1.269422e-02
