family,scale,task,arm,budget,mean_f1,f1_32k,gpu_hours,gpus,wt_measured,ffn_pf,total_pf,ffn_cost,run
qwen3_5,4b,outlier,dense,16M,0.2631,0.03578,0.723,8,True,217.4,379.8,1,prior-dense-outlier-16M
qwen3_5,4b,outlier,dense,32M,0.3377,0.08772,1.416,8,True,434.9,760.5,1,prior-dense-outlier-32M
qwen3_5,4b,outlier,dense,64M,0.4283,0.107,2.749,8,True,869.7,1522,1,prior-dense-outlier-64M
qwen3_5,4b,outlier,dense,160M,0.604,0.266,6.644,8,True,2174,3805,1,prior-dense-outlier-160M
qwen3_5,4b,outlier,dense,320M,0.5525,0.352,13.24,8,True,4349,7608,1,prior-dense-outlier-320M
qwen3_5,4b,nq,dense,16M,0.8778,0.76,1.458,,False,217.4,379.2,1,prior-dense-nq-16M
qwen3_5,4b,nq,dense,32M,0.9073,0.837,2.916,,False,434.9,758.4,1,prior-dense-nq-32M
qwen3_5,4b,nq,dense,48M,0.9223,0.873,4.374,,False,652.3,1139,1,prior-dense-nq-48M
qwen3_5,4b,contradiction,dense,14M,0.772,0.592,0.5648,8,True,190.3,337.4,1,prior-dense-contradiction-14M
qwen3_5,4b,contradiction,dense,28M,0.924,,1.137,8,True,380.5,673.7,1,prior-dense-contradiction-28M
qwen3_5,4b,contradiction,dense,56M,0.9437,0.881,2.29,8,True,761,1347,1,prior-dense-contradiction-56M
qwen3_5,4b,oolong,dense,20M,0.661,0.564,0.8119,4,True,271.8,485.9,1,prior-dense-oolong-20M
qwen3_5,4b,oolong,dense,40M,0.702,0.607,3.479,8,True,543.6,972.2,1,prior-dense-oolong-40M
qwen3_5,4b,oolong,dense,80M,0.7225,0.617,7.057,8,True,1087,1946,1,prior-dense-oolong-80M
qwen3_5,4b,outlier,kv17,16M,0.065,0.014,1.946,4,True,214.1,127.1,1,fs35-outlier-kv17-s16M
qwen3_5,4b,outlier,kv33,16M,0.137,0.025,2.569,4,True,214.1,191.8,1,fs35-outlier-kv33-s16M
qwen3_5,4b,outlier,kv17,32M,0.05167,0.018,3.672,4,True,435.3,260.7,1,fs35-outlier-kv17-s32M
qwen3_5,4b,outlier,kv33,32M,0.1463,0.03,5.105,4,True,435.3,395.7,1,fs35-outlier-kv33-s32M
qwen3_5,4b,outlier,kv17,64M,0.089,0.024,6.153,4,True,868.9,508,1,fs35-outlier-kv17-s64M
qwen3_5,4b,outlier,kv33,64M,0.226,0.038,8.328,4,True,868.9,763,1,fs35-outlier-kv33-s64M
qwen3_5,4b,nq,kv17,16M,0.603,0.233,2.624,4,True,213.7,100.2,1,fs35-nq-kv17-s16M
qwen3_5,4b,nq,kv33,16M,0.7218,0.417,3.576,4,True,213.7,171.5,1,fs35-nq-kv33-s16M
qwen3_5,4b,nq,kv17,32M,0.7945,0.648,4.501,4,True,434.2,205,1,fs35-nq-kv17-s32M
qwen3_5,4b,nq,kv33,32M,0.8427,0.703,6.132,4,True,434.2,351.7,1,fs35-nq-kv33-s32M
qwen3_5,4b,nq,kv17,48M,0.7498,0.517,5.852,4,True,654.9,305.8,1,fs35-nq-kv17-s48M
qwen3_5,4b,nq,kv33,48M,0.8273,0.665,8.294,4,True,654.9,522.4,1,fs35-nq-kv33-s48M
qwen3_5,4b,outlier,kv17,160M,0.05367,0.022,13.14,4,True,2183,1312,1,fs35-outlier-kv17-s160M
qwen3_5,4b,outlier,kv33,160M,0.2017,0.032,16.96,4,True,2183,1992,1,fs35-outlier-kv33-s160M
qwen3_5,4b,outlier,kv17,320M,0.04533,0.017,24.34,4,True,4371,2641,1,fs35-outlier-kv17-s320M
qwen3_5,4b,outlier,ffnmoe-s1,16M,0.05618,0.00375,1.181,4,True,107.2,272.1,0.505,fs35r2-outlier-ffnmoe-s1-s16M
qwen3_5,4b,outlier,ffnmoe-s1,32M,0.1342,0,2.437,4,True,205.4,532.3,0.4764,fs35r2-outlier-ffnmoe-s1-s32M
qwen3_5,4b,nq,ffnmoe-s1,16M,0.7233,0.4317,1.184,4,True,103.2,268.3,0.4893,fs35r2-nq-ffnmoe-s1-s16M
qwen3_5,4b,contradiction,ffnmoe-s1,14M,0.427,0.1659,1.07,4,True,94.77,242,0.4996,fs35r2-contradiction-ffnmoe-s1-s14M
qwen3_5,4b,outlier,kvb17,16M,0.033,0.009,3.369,4,True,214.1,95.54,1,fs35-outlier-kvb17-s16M
qwen3_5,4b,nq,kvb17,16M,0.7285,0.422,3.313,4,True,213.7,88.48,1,fs35-nq-kvb17-s16M
qwen3_5,4b,nq,ffnmoe-s1,32M,0.8454,0.6933,2.418,4,True,202.1,528.4,0.4702,fs35r2-nq-ffnmoe-s1-s32M
qwen3_5,4b,outlier,ffnmoe-s1,64M,0.2795,0.01856,5.008,4,True,411.7,1062,0.4734,fs35r2-outlier-ffnmoe-s1-s64M
qwen3_5,4b,outlier,kvb33,16M,0.1327,0.026,4.522,4,True,214.1,167.9,1,fs35-outlier-kvb33-s16M
qwen3_5,4b,oolong,ffnmoe-s1,20M,0.5846,0.4741,1.523,4,True,125.1,335.8,0.4562,fs35r2-oolong-ffnmoe-s1-s20M
