task,scale,arm,budget,tokens,actual_pflops,dense_equiv_pflops,flop_ratio,mean_f1,partial,f1_2k,f1_8k,f1_16k,f1_32k,run
outlier,0.8b,dense,16M,16000000,75.31225630303027,75.31225630303027,1.0,0.14222222222222222,1,,,0.24866666666666665,0.035777777777777776,prior-dense-outlier-16M
outlier,0.8b,dense,32M,32000000,150.82816201590376,150.82816201590376,1.0,0.20602777777777775,1,,,0.3243333333333333,0.08772222222222222,prior-dense-outlier-32M
oolong,0.8b,dense,20M,20000000,97.10802394182451,97.10802394182451,1.0,0.6220432203893107,0,0.8363258759180705,0.6035905945305724,0.5540912537420223,0.49416515736657785,fs35s08b-oolong-dense-s20M
oolong,0.8b,ffnmoe-t10,20M,20000000,86.41613936586485,97.10802394182451,0.8898970018958994,0.5604071571578592,0,0.7800515679196299,0.5149860506717198,0.49656640266293184,0.450024607377155,fs35s08b-oolong-ffnmoe-t10-s20M
contradiction,0.8b,dense,14M,14000000,67.74806305030963,67.74806305030963,1.0,0.029309523809523806,0,0.06523809523809523,0.02733333333333333,0.014666666666666666,0.01,fs35s08b-contradiction-dense-s14M
contradiction,0.8b,ffnmoe-t10,14M,14000000,62.39805848379304,67.74806305030963,0.9210308852292399,0.007066666666666667,0,0.018266666666666667,0.008,0.002,0.0,fs35s08b-contradiction-ffnmoe-t10-s14M
oolong,0.8b,dense,80M,80000000,389.0233987539763,389.0233987539763,1.0,0.6696555752627679,0,0.8666408475240072,0.6354447838675374,0.6084068203453447,0.5681298493141821,fs35s08b-oolong-dense-s80M
contradiction,0.8b,dense,56M,56000000,270.36340848682596,270.36340848682596,1.0,0.7039333333333333,0,0.8685333333333333,0.7750666666666666,0.658,0.5141333333333333,fs35s08b-contradiction-dense-s56M
contradiction,0.8b,ffnmoe-t10,56M,56000000,234.6127741962765,270.36340848682596,0.8677682217033763,0.2708,0,0.5506666666666666,0.3357333333333333,0.15546666666666667,0.041333333333333326,fs35s08b-contradiction-ffnmoe-t10-s56M
oolong,0.8b,kv17,20M,20000000,24.43193039565619,97.10802394182451,0.2515953821724647,0.5845,0,0.822,0.554,0.497,0.465,fs35s08b-oolong-kv17-s20M
oolong,0.8b,ffnmoe-t10,80M,80000000,332.7265668575798,389.0233987539763,0.8552867717553427,0.6394373745511117,0,0.8383982011427482,0.6300551380140496,0.5556077812983788,0.5336883777492701,fs35s08b-oolong-ffnmoe-t10-s80M
contradiction,0.8b,kv33,14M,14000000,30.677434359250945,67.74806305030963,0.45281640504570475,0.09075,0,0.248,0.081,0.025,0.009,fs35s08b-contradiction-kv33-s14M
contradiction,0.8b,kv33,56M,56000000,128.87476443375206,270.36340848682596,0.476672361674386,0.45425,0,0.703,0.594,0.365,0.155,fs35s08b-contradiction-kv33-s56M
oolong,0.8b,kv17,80M,80000000,102.55076572790784,389.0233987539763,0.2636107906526269,0.6599999999999999,0,0.845,0.626,0.598,0.571,fs35s08b-oolong-kv17-s80M
oolong,0.8b,ffnmoe-t10p,20M,20000000,85.84243594649455,97.10802394182451,0.8839891129688834,0.5715931873858892,0,0.771360522694023,0.5088504627941074,0.5046530925762701,0.5015086714791561,fs35s08b-oolong-ffnmoe-t10p-s20M
contradiction,0.8b,ffnmoe-t10p,14M,14000000,66.8143652645735,67.74806305030963,0.9862180888471636,0.00022196969696969696,0,0.0007628787878787879,0.000125,0.0,0.0,fs35s08b-contradiction-ffnmoe-t10p-s14M
oolong,0.8b,ffnmoe-t10p,80M,80000000,329.78731047498053,389.0233987539763,0.847731297220871,0.6419608675922395,0,0.8445114580790202,0.6315330182396796,0.5824697131601635,0.5093292808900947,fs35s08b-oolong-ffnmoe-t10p-s80M
contradiction,0.8b,ffnmoe-t10p,56M,56000000,233.57591837725414,270.36340848682596,0.8639331767732009,0.36346666666666666,0,0.6550666666666666,0.4650666666666667,0.2376,0.09613333333333332,fs35s08b-contradiction-ffnmoe-t10p-s56M
outlier,2b,dense,16M,16000000,171.6944056599982,171.6944056599982,1.0,0.14222222222222222,1,,,0.24866666666666665,0.035777777777777776,prior-dense-outlier-16M
outlier,2b,dense,32M,32000000,343.7960702256292,343.7960702256292,1.0,0.20602777777777775,1,,,0.3243333333333333,0.08772222222222222,prior-dense-outlier-32M
oolong,2b,dense,20M,20000000,219.36691904571802,219.36691904571802,1.0,0.6499873593335945,0,0.850689214070638,0.6239609318540046,0.5649007190629916,0.560398572346744,fs35s2b-oolong-dense-s20M
oolong,2b,ffnmoe-t10,20M,20000000,182.49686747646854,219.36691904571802,0.8319251976111975,0.506237383837767,0,0.7726822833068893,0.43517428912802014,0.40340780626683753,0.4136851566493208,fs35s2b-oolong-ffnmoe-t10-s20M
contradiction,2b,dense,14M,14000000,152.1820041645527,152.1820041645527,1.0,0.4573333333333333,0,0.7168666666666667,0.5711999999999999,0.345,0.19626666666666664,fs35s2b-contradiction-dense-s14M
contradiction,2b,ffnmoe-t10,14M,14000000,125.38222805705188,152.1820041645527,0.8238965490392509,0.04984780862412441,0,0.13838095238095238,0.044091234496497655,0.015585714285714286,0.0013333333333333333,fs35s2b-contradiction-ffnmoe-t10-s14M
oolong,2b,kv17,20M,20000000,61.776613234262015,219.36691904571802,0.28161316894543803,0.604,0,0.84,0.561,0.538,0.477,fs35s2b-oolong-kv17-s20M
oolong,2b,dense,80M,80000000,878.492260272894,878.492260272894,1.0,0.6928458875294573,0,0.8766636339823405,0.6768462649674657,0.6375678934522613,0.5803057577157619,fs35s2b-oolong-dense-s80M
oolong,2b,ffnmoe-t10,80M,80000000,677.3436588005328,878.492260272894,0.7710297397385418,0.6462968886636914,0,0.8480745633443196,0.6190524211907124,0.5636156485268233,0.5544449215929104,fs35s2b-oolong-ffnmoe-t10-s80M
contradiction,2b,kv33,14M,14000000,75.75626855613235,152.1820041645527,0.4978004394936076,0.23750000000000002,0,0.497,0.324,0.1,0.029,fs35s2b-contradiction-kv33-s14M
