task,scale,arm,budget,tokens,actual_pflops,dense_equiv_pflops,flop_ratio,mean_f1,partial,f1_16k,f1_2k,f1_32k,f1_8k,run
outlier,27b,dense,16M,16000000,2227.1196386077227,2227.1196386077227,1.0,0.14222222222222222,1,0.24866666666666665,,0.035777777777777776,,prior-dense-outlier-16M
outlier,27b,dense,32M,32000000,4459.300522771403,4459.300522771403,1.0,0.20602777777777775,1,0.3243333333333333,,0.08772222222222222,,prior-dense-outlier-32M
oolong,27b,dense,20M,20000000,2837.6653010596087,2837.6653010596087,1.0,0.7278145659795641,0,0.6469420665873795,0.9197395833333334,0.6222830827992529,0.7222935311982902,fs35s27b-oolong-dense-s20M
oolong,27b,kv17,20M,20000000,633.6734789758895,2837.6653010596087,0.2233080408529048,0.68225,0,0.633,0.865,0.599,0.632,fs35s27b-oolong-kv17-s20M
oolong,27b,dense,80M,80000000,11362.695032745063,11362.695032745063,1.0,0.7856165350831914,0,0.7099275304953484,0.9510677083333333,0.7018966182767592,0.7795742832273245,fs35s27b-oolong-dense-s80M
oolong,27b,ffnmoe-t10,20M,20000000,2162.6918775990916,2837.6653010596087,0.7621377605003394,0.5825331908311594,0,0.4996951852728652,0.8295598570505778,0.4527681303502632,0.5481095906509312,fs35s27b-oolong-ffnmoe-t10-s20M
oolong,27b,ffnmoe-t10,80M,80000000,7588.504645951704,11362.695032745063,0.6678437310939983,0.6898822356617252,0,0.6108725631398382,0.9015178871154785,0.5764116937916133,0.6707267985999709,fs35s27b-oolong-ffnmoe-t10-s80M
contradiction,27b,dense,14M,14000000,1965.2065888319016,1965.2065888319016,1.0,0.8957666666666667,0,0.892,0.9650666666666667,0.7882666666666667,0.9377333333333333,fs35s27b-contradiction-dense-s14M
oolong,27b,kv17,80M,80000000,2628.247305706242,11362.695032745063,0.23130492353549467,0.67975,0,0.592,0.883,0.598,0.646,fs35s27b-oolong-kv17-s80M
contradiction,27b,ffnmoe-t10,14M,14000000,1701.3993555620973,1965.2065888319016,0.8657610681904906,0.5314316849816849,0,0.46355714285714283,0.7715666666666666,0.23213333333333333,0.6584695970695971,fs35s27b-contradiction-ffnmoe-t10-s14M
contradiction,27b,kv33,14M,14000000,745.9917792232735,1965.2065888319016,0.37959967336903916,0.7927500000000001,0,0.768,0.921,0.607,0.875,fs35s27b-contradiction-kv33-s14M
contradiction,27b,dense,56M,56000000,7848.828020037107,7848.828020037107,1.0,0.9799,0,0.9856,0.9953333333333334,0.9506666666666667,0.988,fs35s27b-contradiction-dense-s56M
contradiction,27b,ffnmoe-t10,56M,56000000,5309.707650825643,7848.828020037107,0.6764968779122951,0.9318952380952381,0,0.9365333333333333,0.9781333333333333,0.8647809523809524,0.9481333333333333,fs35s27b-contradiction-ffnmoe-t10-s56M
contradiction,27b,kv33,56M,56000000,3341.0841422623703,7848.828020037107,0.425679366872734,0.95625,0,0.96,0.989,0.895,0.981,fs35s27b-contradiction-kv33-s56M
