task,scale,arm,budget,tokens,actual_pflops,dense_equiv_pflops,flop_ratio,mean_f1,partial,f1_16k,f1_2k,f1_32k,f1_8k,run
outlier,4b,dense,16M,16000000,379.77743810122445,379.77743810122445,1.0,0.14222222222222222,1,0.24866666666666665,,0.035777777777777776,,prior-dense-outlier-16M
outlier,4b,dense,32M,32000000,760.4759661838602,760.4759661838602,1.0,0.20602777777777775,1,0.3243333333333333,,0.08772222222222222,,prior-dense-outlier-32M
contradiction,4b,attnroute-c50,14M,14000000,335.93225979535515,337.42300736497765,0.9955819622933714,0.7830166666666667,0,0.7602,0.9341333333333334,0.5830666666666666,0.8546666666666666,fs35s4battn-contradiction-attnroute-c50-s14M
contradiction,4b,attnroute-c25,14M,14000000,335.93225979535515,337.42300736497765,0.9955819622933714,0.7830166666666667,0,0.7602,0.9341333333333334,0.5830666666666666,0.8546666666666666,fs35s4battn-contradiction-attnroute-c25-s14M
contradiction,4b,attnroute-c10,14M,14000000,335.93225979535515,337.42300736497765,0.9955819622933714,0.7830166666666667,0,0.7602,0.9341333333333334,0.5830666666666666,0.8546666666666666,fs35s4battn-contradiction-attnroute-c10-s14M
contradiction,4b,attnroute-c10,56M,56000000,1244.7667541102485,1347.2476647019562,0.9239331317643227,0.0021666666666666666,0,0.0,0.006,0.0,0.0026666666666666666,fs35s4battn-contradiction-attnroute-c10-s56M
contradiction,4b,attnroute-c25,56M,56000000,1257.4273511349481,1347.2476647019562,0.9333305108479231,0.005458333333333333,0,0.0,0.0185,0.0,0.003333333333333333,fs35s4battn-contradiction-attnroute-c25-s56M
oolong,4b,attnroute-c10,80M,80000000,1792.336147063206,1946.1520288290385,0.9209640976206876,0.6253338305855771,0,0.5491277360592212,0.8397056261698405,0.5147068663850822,0.5977950937281646,fs35s4battn-oolong-attnroute-c10-s80M
contradiction,4b,attnroute-c50,56M,56000000,1286.3420897394326,1347.2476647019562,0.9547925919203598,0.8941333333333333,0,0.8876000000000001,0.9686666666666667,0.77,0.9502666666666667,fs35s4battn-contradiction-attnroute-c50-s56M
oolong,4b,attnroute-c25,80M,80000000,1814.734330047162,1946.1520288290385,0.932473056146108,0.6433321332645555,0,0.5738741285062726,0.8488381131490071,0.5414736715967481,0.6091426198061941,fs35s4battn-oolong-attnroute-c25-s80M
oolong,4b,attnroute-c50,80M,80000000,1857.6471856512337,1946.1520288290385,0.954523160643798,0.6709804244546969,0,0.6096014953657705,0.8721988932291667,0.5622729657721811,0.6398483434516693,fs35s4battn-oolong-attnroute-c50-s80M
oolong,4b,attnroute-c50,20M,20000000,478.03781704694296,485.9426959307612,0.9837328990639987,0.637666087807248,0,0.559736651729547,0.8428143501281739,0.5356156581986693,0.6124976911726016,fs35s4battn-oolong-attnroute-c50-s20M
oolong,4b,attnroute-c25,20M,20000000,478.03781704694296,485.9426959307612,0.9837328990639987,0.6375882359892817,0,0.5597338416740022,0.8428143501281739,0.5356156547323492,0.6121890974226015,fs35s4battn-oolong-attnroute-c25-s20M
oolong,4b,attnroute-c10,20M,20000000,478.03781704694296,485.9426959307612,0.9837328990639987,0.6375882359892817,0,0.5597338416740022,0.8428143501281739,0.5356156547323492,0.6121890974226015,fs35s4battn-oolong-attnroute-c10-s20M
