task,scale,arm,budget,tokens,actual_pflops,dense_equiv_pflops,flop_ratio,mean_f1,partial,f1_16k,f1_2k,f1_32k,f1_8k,run
outlier,4b,dense,16M,16000000,379.77743810122445,379.77743810122445,1.0,0.26314814814814813,0,0.24866666666666665,,0.035777777777777776,0.505,prior-dense-outlier-16M
outlier,4b,dense,32M,32000000,760.4759661838602,760.4759661838602,1.0,0.3376851851851852,0,0.3243333333333333,,0.08772222222222222,0.601,prior-dense-outlier-32M
outlier,4b,dense,64M,64000000,1521.5143155518822,1521.5143155518822,1.0,0.4283333333333333,0,0.453,,0.107,0.725,prior-dense-outlier-64M
outlier,4b,dense,160M,160000000,3804.599499566709,3804.599499566709,1.0,0.604,0,0.659,,0.266,0.887,prior-dense-outlier-160M
outlier,4b,dense,320M,320000000,7608.007069747296,7608.007069747296,1.0,0.5525,1,0.753,,0.352,,prior-dense-outlier-320M
nq,4b,dense,16M,16000000,379.17061196215604,379.17061196215604,1.0,0.87775,0,0.857,0.977,0.76,0.917,prior-dense-nq-16M
nq,4b,dense,32M,32000000,758.4327196880395,758.4327196880395,1.0,0.90725,0,0.885,0.977,0.837,0.93,prior-dense-nq-32M
nq,4b,dense,48M,48000000,1138.6335967606979,1138.6335967606979,1.0,0.92225,0,0.91,0.973,0.873,0.933,prior-dense-nq-48M
contradiction,4b,dense,14M,14000000,337.42300736497765,337.42300736497765,1.0,0.772,0,0.751,0.909,0.592,0.836,prior-dense-contradiction-14M
contradiction,4b,dense,28M,28000000,673.7416237183795,673.7416237183795,1.0,0.87625,0,0.873,0.967,0.733,0.932,prior-dense-contradiction-28M
contradiction,4b,dense,56M,56000000,1347.2476647019562,1347.2476647019562,1.0,0.94375,0,0.941,0.982,0.881,0.971,prior-dense-contradiction-56M
oolong,4b,dense,20M,20000000,485.9426959307612,485.9426959307612,1.0,0.661,0,0.576,0.865,0.564,0.639,prior-dense-oolong-20M
oolong,4b,dense,40M,40000000,972.2290806046095,972.2290806046095,1.0,0.702,0,0.643,0.886,0.607,0.672,prior-dense-oolong-40M
oolong,4b,dense,80M,80000000,1946.1520288290385,1946.1520288290385,1.0,0.7225,0,0.668,0.913,0.617,0.692,prior-dense-oolong-80M
contradiction,4b,kv08,56M,56000000,304.0127642140631,1347.2476647019562,0.22565469748379047,0.378,0,0.262,0.629,0.127,0.494,fs35s4bkvbias-contradiction-kv08-s56M
contradiction,4b,kvl08,56M,56000000,304.0127642140631,1347.2476647019562,0.22565469748379047,0.24475,0,0.116,0.509,0.051,0.303,fs35s4bkvbias-contradiction-kvl08-s56M
contradiction,4b,kvl17,56M,56000000,429.2094224553492,1347.2476647019562,0.3185824208129548,0.42625,0,0.265,0.735,0.11,0.595,fs35s4bkvbias-contradiction-kvl17-s56M
oolong,4b,kv08,80M,80000000,366.06487019257037,1946.1520288290385,0.18809674926209358,0.665,0,0.604,0.861,0.561,0.634,fs35s4bkvbias-oolong-kv08-s80M
oolong,4b,kvl08,80M,80000000,366.06487019257037,1946.1520288290385,0.18809674926209358,0.669,0,0.603,0.857,0.575,0.641,fs35s4bkvbias-oolong-kvl08-s80M
contradiction,4b,kvl33,56M,56000000,,1347.2476647019562,,0.72925,0,0.717,0.93,0.417,0.853,fs35s4bkvbias-contradiction-kvl33-s56M
oolong,4b,kvl17,80M,80000000,,1946.1520288290385,,0.6665,0,0.608,0.858,0.566,0.634,fs35s4bkvbias-oolong-kvl17-s80M
