run,ex,task,arm,budget,scale,gpus,steps,train_seconds,job_seconds,t_first_step,t_last_step
fs35-contradiction-dense-s7M,01M1HT0KQKS2Z8JQ4QWK6YWN66,contradiction,dense,7M,4b,4,14,531.899,838.008379,2026-09-02T19:42:43.507,2026-09-02T19:51:35.406
fs35-contradiction-kv17-s14M,01M1HTNXABT2HH0PAHFXRSWTMX,contradiction,kv17,14M,4b,4,24,1977.797,3136.319011,2026-09-02T20:08:31.680,2026-09-02T20:41:29.477
fs35-contradiction-kv17-s28M,01M1HTQG0HBP45GZFRR6JMPXGD,contradiction,kv17,28M,4b,4,49,3224.439,4349.983975,2026-09-02T20:08:53.691,2026-09-02T21:02:38.130
fs35-contradiction-kv17-s56M,01M1HTS1P7VP0H2RGQTPZSCNQ2,contradiction,kv17,56M,4b,4,99,5583.61,6462.920806,2026-09-02T20:05:43.602,2026-09-02T21:38:47.212
fs35-contradiction-kv33-s14M,01M1HTPP1XWKCEM2KZXQVCZSZW,contradiction,kv33,14M,4b,4,24,2761.847,4081.053252,2026-09-02T20:11:50.288,2026-09-02T20:57:52.135
fs35-contradiction-kv33-s28M,01M1HTR90WXZD89H7AEBRZA3PS,contradiction,kv33,28M,4b,4,49,3983.387,5102.129796,2026-09-02T20:09:20.558,2026-09-02T21:15:43.945
fs35-contradiction-kv33-s56M,01M1HTSVVT4HW73QF3WC1RF8E1,contradiction,kv33,56M,4b,4,99,7101.186,8043.036927,2026-09-02T20:07:27.885,2026-09-02T22:05:49.071
fs35-contradiction-kvb17-s14M,01M1HV082R41BBS0XNBSJ6XVRG,contradiction,kvb17,14M,4b,4,24,2423.31,3545.023897,2026-09-02T20:31:32.245,2026-09-02T21:11:55.555
fs35-contradiction-kvb33-s14M,01M1HTZE5P4PNQP5NMRHP4KAAM,contradiction,kvb33,14M,4b,4,24,3407.765,4849.67182,2026-09-02T20:21:32.982,2026-09-02T21:18:20.747
fs35-contradiction-kvb33-s28M,01M1HV129N8X9S25V06GWTGZ1C,contradiction,kvb33,28M,4b,4,49,5198.211,6449.020495,2026-09-02T20:52:37.857,2026-09-02T22:19:16.068
fs35-contradiction-kvb33-s56M,01M1HV1TJ2B614CD3TJNZ3T99F,contradiction,kvb33,56M,4b,4,99,10048.889,11230.202937,2026-09-02T21:01:33.060,2026-09-02T23:49:01.949
fs35-nq-dense-s4M,01M1HSZ0GES40YMQFCD8FY1S08,nq,dense,4M,4b,4,8,287.674,592.39697,2026-09-02T19:41:52.786,2026-09-02T19:46:40.460
fs35-nq-dense-s8M,01M1HSZTT9TDS8D0399CDZ2RSH,nq,dense,8M,4b,4,16,613.258,1126.154395,2026-09-02T19:45:41.219,2026-09-02T19:55:54.477
fs35-nq-kv17-s16M,01M1GKZADFEH7TBPK7NHG1KY94,nq,kv17,16M,4b,4,35,2361.83,3295.095073,2026-09-02T09:06:17.739,2026-09-02T09:45:39.569
fs35-nq-kv17-s32M,01M1GM1EQ7N2615ZG2QJM71NRM,nq,kv17,32M,4b,4,71,4051.243,4750.38695,2026-09-02T09:02:22.044,2026-09-02T10:09:53.287
fs35-nq-kv17-s48M,01M1GM3PSXDF0PT0P7DKRRY6QF,nq,kv17,48M,4b,4,107,5266.88,6056.766967,2026-09-02T09:40:03.519,2026-09-02T11:07:50.399
fs35-nq-kv33-s16M,01M1GM0DT59Q75BC3VT8DEV7QQ,nq,kv33,16M,4b,4,35,3218.466,4267.602579,2026-09-02T09:08:11.795,2026-09-02T10:01:50.261
fs35-nq-kv33-s32M,01M1GM2M6W7R8W4KR0BZVK8SKM,nq,kv33,32M,4b,4,71,5518.916,6318.198094,2026-09-02T09:03:59.458,2026-09-02T10:35:58.374
fs35-nq-kv33-s48M,01M1GM4WCY8160S927C7HEX3W0,nq,kv33,48M,4b,4,107,7464.258,8262.486625,2026-09-02T09:59:40.796,2026-09-02T12:04:05.054
fs35-nq-kvb17-s16M,01M1H383F8H4PJ2PGVYZ2FX3GT,nq,kvb17,16M,4b,4,35,2981.791,4218.006927,2026-09-02T15:09:01.583,2026-09-02T15:58:43.374
fs35-nq-kvb33-s16M,01M1H36P2AW8KVV2FSHBWSSMMF,nq,kvb33,16M,4b,4,35,5336.361,6717.079665,2026-09-02T15:11:26.525,2026-09-02T16:40:22.886
fs35-nq-kvb33-s32M,01M1H39ERCB4Y2SS8GZT79ETQJ,nq,kvb33,32M,4b,4,71,8712.525,10090.075257,2026-09-02T15:11:13.665,2026-09-02T17:36:26.190
fs35-nq-kvb33-s48M,01M1H3AZ02PGCPJ7E7PZTNV4EY,nq,kvb33,48M,4b,4,107,9223.284,10435.62094,2026-09-02T15:08:25.997,2026-09-02T17:42:09.281
fs35-oolong-dense-s10M,01M1HT1DWDSH12GR5Z2FB0JCAT,oolong,dense,10M,4b,4,20,780.214,1081.210897,2026-09-02T19:43:17.020,2026-09-02T19:56:17.234
fs35-oolong-kv17-s20M,01M1HTTQV5SG40K5WJS32V0DA4,oolong,kv17,20M,4b,4,41,3498.04,4597.388179,2026-09-02T20:10:17.366,2026-09-02T21:08:35.406
fs35-oolong-kv17-s40M,01M1HTW8W7M0249T45S7MG5QX7,oolong,kv17,40M,4b,4,83,5677.305,6710.293687,2026-09-02T20:09:59.966,2026-09-02T21:44:37.271
fs35-oolong-kv17-s80M,01M1HTXSWRMWQF0WRKR4YESG1T,oolong,kv17,80M,4b,4,167,9371.864,10769.694763,2026-09-02T20:19:32.307,2026-09-02T22:55:44.171
fs35-oolong-kv33-s20M,01M1HTVF8B46QGKT3DHY90CEVD,oolong,kv33,20M,4b,4,41,5574.979,6898.557519,2026-09-02T20:14:17.188,2026-09-02T21:47:12.167
fs35-oolong-kv33-s40M,01M1HTX1SFB9C32BWMG7SMPNJW,oolong,kv33,40M,4b,4,83,8724.15,9991.642678,2026-09-02T20:15:00.779,2026-09-02T22:40:24.929
fs35-oolong-kv33-s80M,01M1HTYNZ7J6H8PRG2SPPC5CNP,oolong,kv33,80M,4b,4,167,13786.26,15019.775369,2026-09-02T20:17:00.209,2026-09-03T00:06:46.469
fs35-outlier-dense-s8M,01M1HT26HWFCM1SR57E3QF2V3N,outlier,dense,8M,4b,4,16,615.008,917.433145,2026-09-02T19:43:33.483,2026-09-02T19:53:48.491
fs35-outlier-kv17-s160M,01M1GKT9V6HMRAEY2NXSWH1891,outlier,kv17,160M,4b,4,306,11821.62,13118.726623,2026-09-02T09:08:44.786,2026-09-02T12:25:46.406
fs35-outlier-kv17-s16M,01M1GKKGC9ABY2EQCPNW7A8QFH,outlier,kv17,16M,4b,4,30,1751.271,2595.058527,2026-09-02T08:56:54.303,2026-09-02T09:26:05.574
fs35-outlier-kv17-s320M,01M1GKWYYXK1WEF5EV72VC99QF,outlier,kv17,320M,4b,4,613,21909.453,22734.357485,2026-09-02T09:04:06.013,2026-09-02T15:09:15.466
fs35-outlier-kv17-s32M,01M1GKNKKYR6EAD6BEPQ7XR4T5,outlier,kv17,32M,4b,4,61,3304.437,4396.211433,2026-09-02T09:06:26.260,2026-09-02T10:01:30.697
fs35-outlier-kv17-s64M,01M1GKQTTT7GHR3TEJH75QDVJ4,outlier,kv17,64M,4b,4,122,5537.608,6479.497241,2026-09-02T09:06:19.737,2026-09-02T10:38:37.345
fs35-outlier-kv33-s160M,01M1GKVKQQ2CFJ9GBAAXV423TV,outlier,kv33,160M,4b,4,306,15266.726,16303.597164,2026-09-02T09:07:44.993,2026-09-02T13:22:11.719
fs35-outlier-kv33-s16M,01M1GKMGR0W6HWVEEEFT3HX8VV,outlier,kv33,16M,4b,4,30,2312.094,3460.157157,2026-09-02T09:06:56.844,2026-09-02T09:45:28.938
