run,run_full,task,rung,score,source
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra,2k,0.892,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra,8k,0.8529,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra,16k,0.7647,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra,32k,0.6784,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra,64k,0.1424,xlong
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra,128k,0.0,xlong
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra_fever,2k,0.1892,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra_fever,8k,0.0223,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra_fever,16k,0.0045,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,contra_fever,32k,0.0006,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,fiqa,2k,0.7751,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,fiqa,4k,0.7338,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,fiqa,8k,0.681,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,fiqa,16k,0.5856,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,nq,3k,0.962,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,nq,8k,0.948,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,nq,16k,0.888,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,nq,32k,0.866,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,nq,64k,0.7867,xlong
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,nq,128k,0.1433,xlong
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,oolong,8k,0.5157,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,oolong,16k,0.3931,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,oolong,32k,0.3737,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier,3k,0.3172,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier,8k,0.5144,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier,16k,0.2667,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier,32k,0.0586,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier,64k,0.0,xlong
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier,128k,0.0,xlong
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier_review,3k,0.2109,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier_review,8k,0.0647,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier_review,16k,0.0158,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,outlier_review,32k,0.0066,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,rerank,3k,0.8343,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,rerank,8k,0.7078,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,rerank,16k,0.613,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,scifact,4k,0.833,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,scifact,8k,0.7538,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,scifact,16k,0.7117,base
2lm-mean,q4b-mcl-block64-2lm-mean-5task-dolci25-32k-nocpt,scifact,32k,0.55,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra,2k,0.8933,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra,8k,0.846,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra,16k,0.7573,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra,32k,0.6684,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra,64k,0.12,xlong
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra,128k,0.0,xlong
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra_fever,2k,0.1859,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra_fever,8k,0.0239,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra_fever,16k,0.0056,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,contra_fever,32k,0.0,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,fiqa,2k,0.7166,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,fiqa,4k,0.6755,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,fiqa,8k,0.6215,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,fiqa,16k,0.559,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,nq,3k,0.958,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,nq,8k,0.938,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,nq,16k,0.92,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,nq,32k,0.838,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,nq,64k,0.7667,xlong
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,nq,128k,0.0633,xlong
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,oolong,8k,0.5065,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,oolong,16k,0.4041,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,oolong,32k,0.3815,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier,3k,0.4352,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier,8k,0.4583,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier,16k,0.2789,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier,32k,0.1146,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier,64k,0.0,xlong
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier,128k,0.0,xlong
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier_review,3k,0.1984,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier_review,8k,0.0694,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier_review,16k,0.0094,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,outlier_review,32k,0.0022,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,rerank,3k,0.8363,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,rerank,8k,0.6902,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,rerank,16k,0.6183,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,scifact,4k,0.7904,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,scifact,8k,0.7498,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,scifact,16k,0.6999,base
2lm-max,q4b-mcl-block64-2lm-max-5task-dolci25-32k-nocpt,scifact,32k,0.5513,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra,2k,0.8887,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra,8k,0.846,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra,16k,0.762,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra,32k,0.6467,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra,64k,0.1144,xlong
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra,128k,0.0,xlong
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra_fever,2k,0.1942,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra_fever,8k,0.0217,base
4lm-mean,q4b-mcl-block64-4lm-mean-5task-dolci25-32k-nocpt,contra_fever,16k,0.0039,base
